D,k,gamma,phi_c,theta_p,theta_i,app,api,bip,bii,diameter,roughness,living_agents,velocity,steps_taken,model_id
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.0397063734009862,0.025759714283049108,0.8882322452031075,13.733623278737802,3.2690192186389835,242,0.013960147343718724,1000,1719881293_4592_20
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.03004408583045006,0.8882322452031075,13.569488679998685,2.6487733765457753,251,0.013927396847015862,1000,1719881336_4592_21
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.6745982256252319,14.602608599514829,2.569694975610137,270,0.01495387446254769,1000,1719881378_4592_22
0.0001730205743946135,0.04116727285087109,0.00043195916716940705,0.025887125022709373,0.4990115467458963,0.2546695195138454,-0.25311175044626,-0.0397063734009862,0.03004408583045006,0.6745982256252319,3.498104618092085,1.0782799902065119,35,0.003597905111978328,1000,1719881419_4592_23
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.5767340074758976,37.64355855245084,7.688037858832424,3422,0.0682039842548754,570,1719881457_4592_24
0.0004928220719378441,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.5767340074758976,39.15041263731412,6.326777609939986,3421,0.06817725404554187,579,1719881495_4592_25
0.0005273760973662138,0.035029623545706275,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.5767340074758976,39.67682884468691,8.85572384762946,2421,0.06812671434720519,612,1719881531_4592_26
0.0005273760973662138,0.02445014461874962,0.003237301683193073,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.5767340074758976,39.9739851053051,8.855609708341524,2789,0.048724790336745816,850,1719881584_4592_27
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.049893997833132746,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.5767340074758976,40.11974406806056,9.668840397959611,2627,0.07570230036113912,580,1719881620_4592_28
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.3935388118028641,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.5767340074758976,38.1401396011114,6.530345277007261,2796,0.060582441551989774,629,1719881658_4592_29
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.3187439989298582,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.5767340074758976,37.52862363419103,7.309904724804686,3462,0.06812059811715901,562,1719881695_4592_30
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.13160916785709564,-0.042726056724786764,0.017993789203464984,0.5767340074758976,37.57525353192635,6.816792619085611,3387,0.06884254420659548,555,1719881732_4592_31
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.01745554808527231,0.017993789203464984,0.5767340074758976,36.816674348718344,7.55482489261912,3472,0.06716340174934843,559,1719881769_4592_32
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.041878125406801706,0.5767340074758976,37.82874871809713,7.094165612286115,3347,0.06855184244449986,569,1719881807_4592_33
0.0005273760973662138,0.02445014461874962,0.004918499638233334,0.02341756470501423,0.2356469549238682,0.37394456975162027,-0.5510782682802529,-0.042726056724786764,0.017993789203464984,0.09916953295469283,41.139175261497904,13.431178858303927,4709,0.10427348791557807,449,1719881843_4592_34
0.0004928220719378441,0.035029623545706275,0.003237301683193073,0.049893997833132746,0.3935388118028641,0.3187439989298582,-0.13160916785709564,-0.01745554808527231,0.041878125406801706,0.09916953295469283,41.77840036087883,3.142945987642044,1794,0.05054560386998752,835,1719881888_4592_35
4.050956964492798e-05,0.03681996695697308,0.0013545041389297695,0.046013202518224716,0.4446991071105003,0.27527162544429307,-0.027391298674046993,-0.014436079412698748,0.03534848410636187,0.15280600176192818,0.0,0.0,0,0.0,1000,1719881928_4592_36
0.0009890230453573168,0.03681996695697308,0.0013545041389297695,0.046013202518224716,0.4446991071105003,0.27527162544429307,-0.027391298674046993,-0.014436079412698748,0.03534848410636187,0.15280600176192818,18.102279463569097,2.7570105915501135,423,0.018380162905501485,1000,1719881971_4592_37
