,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf,velocity,velocity_conf
780,4.44,1.070899231860776,237.4,13.717311736634116,556.2,70.89835585343288,0.005417173390180536,0.0012429278674620107,0.31472557105231286,0.013867275043209074,0.6798572555575066,0.013820288653650502,8.004653177742822,0.32732464460266925,1.2656378112136224,0.07566013489841063,,
781,4.44,0.686078395520512,237.86,14.222958207517872,557.96,70.91881214535957,0.005960825431632785,0.0010645980529979645,0.31357752226886015,0.013256840464019079,0.6804616522995071,0.013579027141157784,8.033188656877748,0.32850143993339176,1.2690526316848207,0.07669409560333411,,
782,4.64,0.9693740726881444,237.72,14.026047040103636,560.22,71.27524388433336,0.006037339829044494,0.0014211316041875086,0.3127963925597292,0.013503047742910362,0.6811662676112265,0.013639258247199464,8.028667313841236,0.32700160885073665,1.2638266445467272,0.07195053422879095,,
783,4.2,0.7291621493193402,238.06,13.868427055899309,562.42,71.52806910266207,0.0054610052879103055,0.0010348896271923647,0.3125200392809745,0.013387064068869754,0.6820189554311152,0.013650078916515762,8.045356387103165,0.3316353656016396,1.270371784078103,0.07311844619120315,,
784,4.32,0.7868173378872633,238.86,13.864393301288015,563.66,71.68207673429112,0.005533924466663433,0.000969677226084138,0.3127903019796129,0.01355562433446399,0.6816757735537238,0.013679974220262446,8.049939572608642,0.32830866422476007,1.25791704312773,0.07513188636207462,,
785,3.92,0.7914906159898546,239.48,13.88446513723881,565.4,71.81153269385076,0.004992281229752489,0.001114249993274631,0.3128500436729351,0.013492996304534287,0.6821576750973124,0.01365036023779876,8.060910722669545,0.3323553400741101,1.2591965275864363,0.07504892812407206,,
786,4.08,0.7267134477908055,239.82,13.862916919725084,566.94,71.96369289388086,0.0052632885230553626,0.000993872833081407,0.3124714975536683,0.013418203885260604,0.6822652139232762,0.013651737287072077,8.08067771130427,0.33047436692375465,1.267376371578681,0.0762090449338167,,
787,3.96,0.810900110247865,240.36,13.881534198092082,568.5,72.04393198597643,0.005076816734519208,0.0010187155077834883,0.3124295571496532,0.013520284521721736,0.6824936261158275,0.013653876493288414,8.096064056095345,0.33302803860758834,1.2811949925299075,0.07611647090574154,,
788,3.96,0.810900110247865,240.62,13.894494052652654,570.22,72.10284135574132,0.004927957162978171,0.0009072907752495543,0.31201824430752395,0.013492273572767813,0.683053798529498,0.013632974515028987,8.103287490764739,0.329716996311213,1.26432916903514,0.0728568374402622,,
789,4.04,0.8333296759386405,240.86,13.947491106747478,571.92,72.27682435826301,0.005087485638846081,0.0010228327297050796,0.31154272141126094,0.013531778900540437,0.6833697929498929,0.013771531318687047,8.111702559498994,0.32970915798991013,1.267305803608251,0.07393393651328185,,
