,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf
66,0.28,0.22202569941337855,14.38,2.8147074056107497,0.14,0.27164214106062373,0.015712618081123834,0.013695969010536133,0.982515230020142,0.014213310077180567,0.0017721518987341772,0.0034385081146914437,0.4685769648486765,0.13100723443182344,0.2795936038285001,0.08308612390608411
67,0.28,0.2220256994133787,14.52,2.8528552411925863,0.14,0.27164214106062373,0.017450539881574363,0.014672807220543439,0.9807994601184256,0.015127822518478924,0.0017499999999999998,0.003395526763257796,0.49490861463738206,0.13438795434144565,0.28186313255838824,0.0838582977690373
68,0.28,0.19235979621532143,14.66,2.9080006844565904,0.14,0.27164214106062373,0.02194100743120351,0.01692954578113818,0.9763305975070681,0.017279660572611225,0.001728395061728395,0.0033536066797607935,0.49857696484867653,0.1268310859043616,0.3095936038285002,0.08183966666339791
69,0.52,0.28933742792801626,14.68,2.872287548836293,0.14,0.27164214106062373,0.02919276898124547,0.016532237690019064,0.9691204840308028,0.01699855101171074,0.0016867469879518072,0.00327279688024848,0.5119432295020114,0.12997870376033857,0.3130779081107941,0.08276682860871983
70,0.36,0.21298265844899206,15.02,2.9773890285281817,0.14,0.27164214106062373,0.016969313366372193,0.010858500918760186,0.9813640199669612,0.011406864362632645,0.0016666666666666666,0.0032338350126264767,0.524948386273454,0.1329018908551199,0.31428634215275414,0.08380901822999483
71,0.24,0.21153476499147844,15.26,3.048948683858094,0.14,0.27164214106062373,0.013033613445378149,0.012339059431495547,0.9853193277310924,0.012849975898083036,0.0016470588235294118,0.0031957898948308744,0.5404399452940022,0.13674603197099586,0.3223554641968838,0.08589757372030812
72,0.36,0.21298265844899206,15.32,3.061838703001841,0.14,0.27164214106062373,0.019604341347087405,0.013759939750107444,0.9787677516761681,0.014150134309015117,0.0016279069767441861,0.0031586295472165573,0.5336015898895043,0.13491638419885865,0.3197972858189972,0.0853761466500731
73,0.36,0.2401139995918607,15.5,3.0892236435713096,0.14,0.27164214106062373,0.02112011758451387,0.016555706825426366,0.9772889733245769,0.017016725659010763,0.001590909090909091,0.003086842512052546,0.5509270059421779,0.1381734944178336,0.30834097776994684,0.08571645425455078
74,0.52,0.30985362221539386,15.6,3.1535906646234233,0.14,0.27164214106062373,0.02870311497927597,0.018284947111873697,0.9697413294651684,0.01863362002748482,0.0015555555555555557,0.0030182460117847104,0.5708779438563064,0.13752073473610957,0.33806512603907085,0.08679161331776503
75,0.24,0.18014948459543265,16.0,3.2604410008463582,0.14,0.27164214106062373,0.011979167031798611,0.010401461087372551,0.9864823714297397,0.010929998951690337,0.0015384615384615385,0.0029850784731936665,0.5742760930614446,0.13776977408117452,0.33642971939043226,0.08574634452424801
76,0.28,0.22202569941337866,16.1,3.2980458213918142,0.14,0.27164214106062373,0.014768341319536311,0.013290149298039032,0.9837099195500287,0.013673921492512892,0.0015217391304347828,0.0029526319680502656,0.5965187337485639,0.1372216879606594,0.3363527574753401,0.08573374514048027
77,0.48,0.2839768779319895,16.14,3.3405254695631337,0.14,0.27164214106062373,0.027661768339187695,0.01728302622367906,0.9708328553167261,0.017487436761799563,0.0015053763440860215,0.0029208832372110156,0.6143296048473169,0.13832543731818486,0.3665187792967925,0.08664834938947909
78,0.6,0.5229932313137525,16.32,3.383684418381833,0.14,0.27164214106062373,0.030947290857705187,0.028051202332162004,0.967563347440167,0.02816039251416909,0.0014893617021276594,0.0028898100112832396,0.6206306980207278,0.13965272086934188,0.3567973934210719,0.08476109412778342
79,0.6,0.35497109741498667,16.62,3.422270009686553,0.14,0.27164214106062373,0.03133535458424407,0.018911078391877608,0.9671909612052297,0.01906505854286056,0.0014736842105263156,0.002859390958532882,0.639486878852369,0.13821759606256626,0.35536676317735183,0.0840695719858217
80,0.24,0.18014948459543265,17.1,3.5014400237616523,0.14,0.27164214106062373,0.011503846153846153,0.009838066167060101,0.9870378205128206,0.010338514876100444,0.0014583333333333334,0.002829605636048168,0.6520114098953047,0.14080056524457002,0.3506527179694415,0.08304553779355305
81,0.52,0.3290932803932647,17.08,3.539236860567543,0.14,0.27164214106062373,0.027861436688349332,0.017442339809972444,0.9706952643425784,0.01762019587850878,0.0014432989690721647,0.002800434443923957,0.673783934401094,0.13425387225414173,0.35183566672123023,0.08301331978756189
82,0.4,0.22174868658010133,17.4,3.582030708969424,0.14,0.27164214106062373,0.022105074197511173,0.01408284523640493,0.9764663543739175,0.014340056626969624,0.0014285714285714286,0.002771858582251267,0.6873083443888216,0.13443518500481139,0.3917186366153152,0.08209056324759709
83,0.32,0.2315124255844597,17.64,3.60629773768057,0.14,0.27164214106062373,0.014605984658616239,0.011467143608141973,0.9839798739272423,0.011842304822473719,0.0014141414141414141,0.0027438600107133697,0.6927313215640207,0.13366056270219226,0.3910321997735193,0.08166344282264124
84,0.64,0.34065679620403855,17.44,3.3749173922927356,0.34,0.6597023425757997,0.031202798151081897,0.01735807711341375,0.9653972018489181,0.018411153470652503,0.0034000000000000002,0.006597023425758019,0.6876723628625825,0.13349815501942028,0.38632621120157185,0.0806566719257609
85,0.32,0.20323602830207038,17.78,3.2383518356102075,0.48,0.9313444836364266,0.01798761469553549,0.012588105042397392,0.9772599100569397,0.015646613701639,0.004752475247524752,0.009221232511251736,0.6932464264695655,0.1316019079089891,0.3887695867092846,0.07952392799686459
86,0.36,0.21298265844899206,17.92,3.2471421211890306,0.48,0.9313444836364266,0.01966575205329392,0.01405607039222724,0.9756283655937648,0.01676016898533137,0.004705882352941176,0.009130828270945359,0.6974843024699077,0.13418225741153003,0.4071964025682115,0.08044467370664933
87,0.6,0.2985383057498652,17.98,3.273371348808442,0.48,0.9313444836364266,0.030378647481001053,0.017774450030051896,0.9649611583442418,0.019744435756406182,0.004660194174757282,0.009042179452780835,0.7358586507773769,0.1306983567912098,0.40323588419224904,0.07970411597270909
88,0.36,0.24011399959186058,18.4,3.3368388393807686,0.48,0.9313444836364266,0.01562605507427239,0.010975210183819322,0.9797585603103431,0.014255104693669774,0.004615384615384616,0.008955235419581004,0.738733907441031,0.13270874010010356,0.39897961080164407,0.07882911709717061
89,0.64,0.3221085729998504,18.44,3.3694492197983927,0.48,0.9313444836364266,0.02855632290414899,0.015403754433893378,0.9668722485244224,0.01758613364312396,0.004571428571428571,0.008869947463204061,0.7444127839283533,0.13041971793171392,0.39932275655215177,0.0788657068637813
90,0.56,0.29418287645612556,18.8,3.455386056578917,0.48,0.9313444836364266,0.026322913450138517,0.0160683786921839,0.9691487846630692,0.018171512174731473,0.004528301886792453,0.008786268713551185,0.7594374048992222,0.13397338070166706,0.39799508790546567,0.07852527182297449
91,0.44,0.2780714383031815,19.14,3.484176621929491,0.48,0.9313444836364266,0.01826007962746603,0.0121996001822984,0.9772539390641228,0.014996332759768565,0.004485981308411215,0.008704154052676872,0.7705800785693034,0.1366425722701731,0.37738390672562977,0.07975417287630733
92,0.4,0.2933459391230768,19.38,3.546631779477537,0.48,0.9313444836364266,0.015732400813045975,0.012466664829171172,0.9798231547425096,0.015221245080473985,0.0044444444444444444,0.008623560033670596,0.7783679414882425,0.13097867831091528,0.40717263234165435,0.0771772978920737
93,0.56,0.2941828764561255,19.38,3.4513323831818914,0.6,1.1641806045455318,0.027540458612665086,0.015713435340668425,0.9669549542313716,0.01879391790190538,0.005504587155963303,0.010680556005004864,0.7950425839194197,0.13307315599983338,0.3817756067450491,0.07894041157944981
